id_video,conf5,conf10,conf15,conf20,conf25,conf30
210,0,0,111,11,0,99
211,0,21,25,17,0,38
212,0,12,7,0,0,0
213,0,22,22,11,22,11
214,0,0,22,0,22,0
215,39,0,0,0,0,0
216,0,0,44,33,33,44
217,0,0,55,0,11,114
218,0,0,0,121,0,11
219,11,11,57,11,11,44
220,0,0,99,0,0,55
221,0,0,0,33,0,33
222,129,0,111,11,33,0
223,0,0,110,11,0,0
224,1,0,0,0,0,0
225,0,0,99,0,44,77
226,0,128,44,44,44,0
227,0,11,128,11,11,99
228,0,0,11,0,99,22
229,0,0,0,123,35,0
230,0,0,44,0,44,0
231,0,99,11,99,0,0
232,0,32,30,0,0,55
233,1,33,0,33,173,33
234,0,0,0,0,44,11
235,0,34,11,0,0,22
236,0,0,110,11,55,11
237,0,0,111,33,11,0
238,0,0,0,0,11,11
239,0,88,0,128,55,0
240,0,0,11,0,0,11
241,11,0,0,22,44,11
242,0,0,44,0,88,55
243,0,0,0,11,0,11
244,0,0,141,0,44,0
245,0,0,22,0,0,55
246,123,0,0,11,0,11
247,0,22,0,22,0,22
248,0,139,0,0,0,0
249,11,6,33,33,33,154
250,3,0,0,0,153,0
251,0,0,11,11,11,0
252,0,0,0,0,11,11
253,0,0,0,0,11,0
254,0,0,22,99,55,55
255,0,0,0,121,11,55
256,0,0,0,113,0,88
257,0,22,0,0,0,33
258,11,111,11,111,33,33
259,36,0,0,132,124,11
260,0,0,0,0,0,0
261,22,122,88,33,33,33
262,0,0,0,0,11,0
263,0,0,0,33,0,0
264,0,153,0,0,22,88
265,0,22,11,22,22,0
266,111,0,33,0,22,0
267,0,0,0,117,66,88
268,11,11,11,11,11,110
269,0,149,114,0,0,0
270,11,11,11,11,55,115
271,0,0,0,1,0,44
272,0,0,122,22,66,0
273,11,5,8,157,44,11
274,0,0,0,142,22,33
275,0,0,0,0,0,11
276,0,1,0,22,29,22
277,3,10,180,11,0,2
278,0,0,22,11,11,22
279,0,118,88,0,0,0
280,11,33,114,163,33,110
281,55,55,99,6,72,2
282,0,0,22,33,0,0
283,0,22,22,120,22,55
284,0,0,33,0,0,33
285,0,0,0,33,0,0
286,26,0,111,33,120,44
287,0,0,22,0,11,22
288,111,11,44,11,0,11
289,0,0,0,33,0,33
290,0,0,0,0,32,0
291,0,0,0,33,0,0
292,0,0,0,155,0,122
293,0,0,0,0,0,0
294,22,0,0,0,22,0
295,0,131,0,0,0,0
296,0,0,0,11,0,0
297,0,0,110,0,33,11
298,0,0,0,34,0,88
299,0,44,0,55,44,88
300,0,0,0,0,124,0
301,0,0,0,66,66,55
302,134,0,0,22,22,11
303,0,0,0,0,0,33
304,0,0,0,22,0,22
305,0,44,0,0,33,0
306,0,0,33,55,0,33
307,137,0,22,44,77,22
308,2,11,38,99,11,115
309,0,11,0,0,66,186
310,0,0,0,0,0,33
311,0,0,128,0,0,0
312,0,11,11,33,0,11
313,0,0,0,0,33,133
314,0,0,0,0,33,11
315,0,0,0,0,0,22
316,0,0,44,0,11,44
317,0,0,66,33,0,33
318,0,0,0,0,155,166
319,0,0,0,0,0,33
320,0,44,0,0,44,11
321,0,77,0,0,0,116
322,0,0,0,0,0,0
323,0,0,33,33,33,33
324,1,99,0,11,0,0
325,0,0,0,0,0,0
326,2,0,11,0,0,120
327,0,11,127,11,0,11
328,111,0,0,0,33,0
329,0,111,0,0,88,99
330,0,113,0,0,0,114
331,7,0,0,0,0,110
332,3,115,0,33,0,115
333,8,8,0,0,0,0
334,0,0,0,0,0,0
335,0,0,11,0,0,0
336,32,11,0,131,0,22
337,0,0,0,0,0,33
338,0,33,0,11,55,11
339,0,11,111,128,22,88
340,0,0,126,11,110,0
341,0,0,0,0,0,11
342,8,9,0,11,111,0
343,0,26,99,127,0,33
344,0,29,159,11,55,0
345,0,0,0,0,0,113
346,0,5,11,0,33,0
