,mbtree,aq-mode,subme
video_326,-0.88,0.38,-0.02
video_327,-0.54,-0.03,-0.28
video_328,-0.43,-0.23,-0.48
video_329,-0.64,0.15,-0.24
video_330,-0.57,-0.22,-0.28
video_331,-0.62,-0.24,-0.2
video_332,-0.73,0.11,-0.25
video_333,-0.75,0.19,-0.3
video_334,-0.55,-0.05,-0.4
video_335,-0.25,-0.39,-0.34
video_336,-0.63,-0.1,-0.32
video_337,-0.23,-0.5,-0.32
video_338,0.18,-0.72,-0.31
video_339,-0.26,0.15,-0.04
video_340,-0.69,-0.11,-0.27
video_341,-0.01,-0.45,-0.37
video_342,-0.78,0.13,0.04
video_343,-0.01,-0.37,-0.35
video_344,-0.62,0.05,-0.27
video_345,-0.52,-0.04,-0.2
video_346,-0.23,-0.32,-0.29
video_347,-0.16,-0.4,-0.37
video_348,-0.66,0.1,-0.26
video_349,-0.88,0.37,-0.06
video_350,-0.82,0.68,0.03
video_351,-0.6,-0.05,-0.23
video_352,-0.88,0.44,-0.15
video_353,0.05,-0.49,-0.32
video_354,0.76,-0.8,-0.16
video_355,-0.45,-0.24,-0.26
video_356,-0.59,-0.22,-0.13
video_357,-0.1,-0.41,-0.42
video_358,-0.78,0.74,-0.11
video_359,-0.48,-0.1,-0.27
video_360,-0.63,0.04,-0.19
video_361,-0.54,-0.05,-0.26
video_362,-0.32,-0.12,-0.29
video_363,-0.34,-0.09,-0.3
video_364,-0.19,-0.36,-0.31
video_365,-0.29,-0.48,-0.33
video_366,-0.86,-0.04,-0.13
video_367,-0.09,-0.58,-0.36
video_368,-0.65,-0.32,-0.17
video_369,-0.47,-0.52,-0.2
video_370,0.15,-0.69,-0.27
video_371,-0.28,-0.52,-0.4
video_372,-0.18,-0.17,-0.35
video_373,-0.71,-0.38,0.12
video_374,-0.35,-0.6,-0.16
video_375,0.0,-0.55,-0.36
video_376,-0.23,-0.37,-0.33
video_377,-0.53,-0.31,-0.31
video_378,-0.8,-0.15,-0.15
video_379,-0.41,-0.25,-0.33
video_380,-0.14,-0.05,-0.41
video_381,-0.86,0.04,-0.18
video_382,-0.19,-0.13,-0.12
video_383,-0.44,-0.47,-0.24
video_384,-0.44,-0.33,-0.31
video_385,-0.47,-0.32,-0.33
video_386,0.28,-0.83,-0.36
video_387,0.14,-0.68,-0.36
video_388,-0.3,-0.31,-0.15
video_389,-0.48,-0.51,-0.25
video_390,-0.8,0.13,0.38
video_391,-0.62,-0.3,-0.24
video_392,-0.64,-0.34,-0.23
video_393,-0.7,-0.41,-0.06
video_394,-0.89,0.66,0.09
video_395,-0.34,-0.42,-0.14
video_396,-0.34,-0.33,-0.3
video_397,-0.69,-0.12,-0.21
video_398,-0.09,-0.53,-0.4
video_399,0.08,-0.79,-0.31
video_400,-0.59,-0.38,-0.22
video_401,-0.48,-0.59,-0.18
video_402,-0.77,0.02,-0.1
video_403,-0.6,-0.41,-0.22
video_404,-0.5,-0.4,-0.08
video_405,0.1,-0.7,-0.29
video_406,-0.32,-0.09,-0.35
video_407,0.06,-0.9,-0.16
video_408,-0.36,0.23,-0.15
video_409,-0.85,0.55,0.01
video_410,0.04,-0.58,-0.43
video_411,-0.5,-0.33,-0.19
video_412,-0.75,-0.36,-0.06
video_413,-0.55,-0.4,-0.25
video_414,-0.31,-0.3,-0.14
video_415,-0.02,-0.63,-0.34
video_416,-0.37,-0.55,-0.26
video_417,-0.11,-0.64,-0.3
video_418,0.15,-0.76,-0.43
video_419,-0.48,-0.45,-0.3
video_420,-0.13,-0.64,-0.28
video_421,-0.57,-0.37,-0.23
video_422,-0.28,-0.6,-0.24
video_423,0.2,-0.8,-0.25
video_424,-0.74,0.24,-0.24
video_425,-0.5,-0.49,-0.24
video_426,-0.25,-0.5,-0.3
video_427,0.17,-0.77,-0.25
video_428,-0.04,-0.68,-0.25
video_429,-0.23,-0.55,-0.28
video_430,-0.48,-0.33,-0.16
video_431,-0.32,-0.32,-0.1
video_432,0.17,-0.58,-0.35
video_433,-0.03,-0.53,-0.46
video_434,0.18,-0.79,-0.15
video_435,0.12,-0.49,-0.45
video_436,-0.68,0.15,-0.14
video_437,-0.89,0.38,0.09
video_438,-0.26,-0.64,-0.25
video_439,-0.58,-0.39,-0.18
video_440,-0.42,-0.36,-0.24
video_441,0.21,-0.73,-0.4
video_442,0.08,-0.79,-0.12
video_443,-0.04,-0.64,-0.32
video_444,-0.01,-0.83,-0.23
video_445,0.41,-0.67,-0.36
video_446,-0.34,-0.26,-0.11
video_447,-0.04,-0.41,-0.3
video_448,-0.33,-0.41,-0.41
video_449,0.02,-0.71,-0.35
video_450,-0.36,-0.53,-0.26
video_451,-0.26,-0.5,-0.33
video_452,-0.39,-0.51,-0.24
video_453,0.15,-0.73,-0.41
video_454,-0.88,0.46,-0.08
video_455,-0.38,-0.53,-0.32
video_456,-0.67,-0.39,-0.1
video_457,-0.67,-0.0,-0.19
video_458,-0.56,-0.19,-0.23
video_459,-0.36,-0.46,-0.32
video_460,-0.38,0.43,-0.53
video_461,-0.67,-0.13,-0.24
video_462,-0.77,0.25,0.04
video_463,-0.26,-0.42,-0.16
video_464,-0.38,-0.53,-0.26
video_465,-0.78,0.65,-0.14
video_466,-0.78,0.54,-0.22
video_467,-0.67,-0.29,-0.13
video_468,-0.28,-0.61,-0.34
video_469,-0.43,0.48,-0.48
video_470,-0.46,0.62,-0.42
video_471,-0.66,0.31,-0.35
video_472,-0.56,-0.18,-0.29
video_473,-0.62,0.06,-0.32
video_474,-0.24,-0.36,-0.4
video_475,-0.33,-0.71,-0.19
video_476,-0.36,-0.4,-0.4
video_477,-0.69,-0.4,-0.11
video_478,-0.5,-0.27,-0.29
video_479,-0.35,-0.41,-0.37
video_480,-0.59,-0.41,-0.19
video_481,-0.31,-0.43,-0.38
video_482,-0.5,-0.36,-0.32
video_483,-0.89,-0.09,-0.01
video_484,-0.32,-0.44,-0.31
video_485,-0.28,-0.62,-0.22
video_486,0.19,-0.84,-0.27
video_487,-0.85,0.24,-0.0
video_488,-0.57,-0.39,-0.18
video_489,-0.26,-0.39,-0.42
video_490,-0.45,-0.35,-0.32
video_491,-0.02,-0.63,-0.35
video_492,-0.6,-0.45,-0.07
video_493,-0.52,-0.33,-0.24
video_494,-0.47,-0.4,-0.15
video_495,-0.67,-0.13,-0.28
video_496,-0.43,-0.26,-0.33
video_497,-0.05,-0.58,-0.31
video_498,-0.23,-0.51,-0.34
video_499,-0.52,-0.28,-0.3
video_500,-0.33,-0.66,-0.19
video_501,-0.81,-0.08,-0.11
video_502,-0.43,-0.54,-0.18
video_503,-0.89,0.59,0.33
video_504,-0.45,-0.49,-0.22
video_505,-0.15,-0.62,-0.36
video_506,-0.17,-0.59,-0.27
video_507,-0.85,0.69,0.06
video_508,-0.36,-0.54,-0.24
video_509,-0.55,-0.53,-0.08
video_510,-0.46,-0.53,-0.19
video_511,-0.62,-0.43,-0.1
video_512,-0.87,-0.13,-0.09
video_513,0.04,-0.72,-0.26
video_514,-0.62,-0.0,-0.25
video_515,-0.0,-0.69,-0.23
video_516,-0.07,-0.7,-0.29
video_517,-0.2,-0.52,-0.25
video_518,-0.67,-0.22,-0.09
video_519,-0.5,-0.31,-0.12
video_520,-0.14,-0.55,-0.31
video_521,-0.44,-0.5,-0.21
video_522,-0.52,-0.37,-0.1
video_523,-0.77,-0.2,-0.12
video_524,-0.54,-0.26,-0.21
video_525,-0.81,0.17,0.43
video_526,-0.41,-0.5,-0.28
video_527,-0.04,-0.74,-0.29
video_528,-0.5,-0.35,-0.26
video_529,-0.31,-0.47,-0.26
video_530,-0.41,-0.38,-0.29
video_531,-0.44,-0.09,-0.36
video_532,-0.68,-0.27,-0.17
video_533,-0.82,0.37,-0.22
video_534,-0.46,-0.46,-0.27
video_535,-0.67,0.3,0.03
video_536,-0.68,0.02,-0.23
video_537,-0.27,-0.55,-0.37
video_538,-0.68,-0.45,-0.07
video_539,-0.65,-0.34,-0.2
video_540,-0.47,-0.53,-0.15
video_541,-0.33,-0.56,-0.22
video_542,-0.46,-0.4,-0.28
video_543,-0.7,0.2,-0.27
video_544,0.19,-0.68,-0.25
video_545,-0.63,0.44,-0.24
video_546,-0.11,-0.74,-0.22
video_547,-0.29,-0.45,-0.33
video_548,-0.52,-0.33,-0.26
video_549,-0.24,-0.55,-0.32
video_550,-0.73,-0.24,-0.17
video_551,-0.78,0.66,-0.14
video_552,0.06,-0.63,-0.3
video_553,-0.54,-0.35,-0.21
video_554,-0.68,-0.34,-0.16
video_555,-0.64,-0.18,-0.24
video_556,-0.35,-0.44,-0.3
video_557,-0.18,-0.54,-0.32
video_558,-0.37,-0.31,-0.32
video_559,-0.0,-0.65,-0.3
video_560,0.27,-0.68,-0.4
video_561,0.14,-0.71,-0.43
video_562,-0.29,-0.46,-0.26
video_563,0.09,-0.04,-0.42
video_564,0.14,-0.84,-0.1
video_565,-0.67,-0.29,-0.01
video_566,-0.14,-0.52,-0.24
video_567,0.23,-0.64,-0.34
video_568,-0.4,-0.07,-0.49
video_569,-0.08,-0.66,-0.37
video_570,0.06,-0.64,-0.28
video_571,-0.72,0.1,-0.24
video_572,-0.21,-0.44,-0.26
video_573,-0.04,-0.67,-0.35
video_574,-0.4,-0.09,-0.36
video_575,0.25,-0.77,-0.33
video_576,-0.6,-0.04,-0.34
video_577,0.11,-0.47,-0.24
video_578,-1.0,0.47,0.05
video_579,0.02,-0.61,-0.32
video_580,-0.22,-0.47,-0.38
video_581,-0.14,-0.54,-0.34
video_582,0.05,-0.68,-0.3
video_583,-0.82,0.1,-0.17
video_584,-0.39,-0.24,-0.4
video_585,-0.71,0.64,-0.23
video_586,-0.84,0.22,-0.18
video_587,-0.79,-0.14,-0.04
video_588,-0.08,-0.63,-0.35
video_589,-0.0,-0.62,-0.33
video_590,0.01,-0.61,-0.31
video_591,-0.37,-0.38,-0.31
video_592,-0.44,-0.28,-0.37
video_593,-0.32,-0.3,-0.4
video_594,-0.07,-0.61,-0.4
video_595,0.08,-0.64,-0.35
video_596,-0.27,-0.57,-0.27
video_597,-0.56,-0.35,-0.17
video_598,0.07,-0.75,-0.18
video_599,-0.13,-0.55,-0.38
video_600,0.21,-0.85,0.05
video_601,0.04,-0.82,-0.08
video_602,-0.15,-0.57,-0.34
video_603,0.66,-0.73,-0.1
video_604,0.07,-0.72,-0.11
video_605,0.47,-0.91,-0.14
video_606,0.42,-0.9,-0.23
video_607,-0.65,0.68,-0.1
video_608,-0.46,-0.46,-0.27
video_609,0.12,-0.79,-0.15
video_610,-0.19,-0.48,-0.38
video_611,-0.18,-0.55,-0.3
video_612,-0.22,-0.5,-0.35
video_613,-0.31,-0.69,-0.12
video_614,0.33,-0.89,-0.22
video_615,-0.36,-0.58,-0.21
video_616,-0.4,-0.35,-0.41
video_617,0.45,-0.75,-0.02
video_618,0.05,-0.72,-0.15
video_619,0.29,-0.68,-0.41
video_620,-0.63,0.01,-0.15
video_621,-0.39,-0.24,-0.41
video_622,-0.64,0.4,-0.16
video_623,0.12,-0.75,-0.27
video_624,-0.25,-0.4,-0.14
video_625,0.12,-0.46,-0.34
video_626,-0.5,-0.32,-0.33
video_627,-0.52,-0.36,-0.26
video_628,-0.14,-0.52,-0.35
video_629,-0.24,-0.62,-0.24
video_630,0.29,-0.62,-0.52
video_631,-0.24,-0.48,-0.32
video_632,0.49,-0.76,-0.24
video_633,-0.4,-0.37,-0.33
video_634,-0.04,-0.42,-0.29
video_635,-0.08,-0.59,-0.39
video_636,-0.89,0.01,0.02
video_637,0.58,-0.84,-0.21
video_638,-0.83,0.69,0.1
video_639,-0.6,-0.4,-0.14
video_640,-0.62,-0.35,-0.11
video_641,-0.71,-0.12,-0.17
video_642,-0.7,0.12,-0.35
video_643,0.04,-0.53,-0.28
video_644,-0.59,-0.03,-0.33
video_645,-0.02,-0.65,0.05
video_646,-0.73,0.09,-0.28
video_647,-0.44,-0.49,-0.24
video_648,-0.31,-0.38,-0.39
video_649,-0.51,-0.44,-0.21
video_650,-0.41,-0.35,-0.38
video_651,0.08,-0.71,-0.27
video_652,-0.53,-0.43,-0.26
video_653,-0.57,-0.46,-0.17
video_654,-0.46,-0.42,-0.24
video_655,-0.62,-0.31,-0.23
video_656,-0.43,-0.54,-0.18
video_657,-0.42,-0.42,-0.13
video_658,-0.19,-0.65,-0.2
video_659,-0.65,-0.43,-0.15
video_660,0.17,-0.77,-0.31
video_661,-0.05,-0.76,-0.29
video_662,-0.57,-0.42,-0.12
video_663,-0.57,-0.55,-0.03
video_664,0.16,-0.72,-0.31
video_665,0.11,-0.42,-0.26
video_666,-0.29,-0.39,-0.35
video_667,-0.31,0.65,-0.16
video_668,-0.42,-0.55,-0.13
video_669,-0.17,-0.63,-0.22
video_670,0.13,-0.77,-0.25
video_671,-0.64,-0.12,-0.26
video_672,-0.38,-0.46,-0.17
video_673,0.09,-0.74,-0.42
video_674,-0.2,-0.22,-0.17
video_675,-0.07,-0.48,-0.35
video_676,0.21,-0.63,-0.37
video_677,-0.39,-0.47,-0.26
video_678,-0.12,-0.05,-0.1
video_679,-0.91,0.25,-0.1
video_680,-0.76,-0.14,-0.18
video_681,-0.41,-0.47,-0.25
video_682,-0.38,-0.44,-0.3
video_683,-0.55,-0.44,-0.31
video_684,-0.19,-0.77,-0.17
video_685,-0.68,0.44,-0.07
video_686,-0.78,0.14,-0.28
video_687,-0.95,0.15,0.06
video_688,-0.11,-0.41,-0.51
video_689,-0.87,-0.08,-0.1
video_690,-0.02,-0.48,-0.4
video_691,-0.22,-0.45,-0.23
video_692,-0.04,-0.6,-0.38
video_693,-0.22,-0.52,-0.35
video_694,-0.12,-0.39,-0.53
video_695,0.11,-0.76,-0.29
video_696,-0.73,0.14,-0.3
video_697,0.43,-0.76,-0.33
video_698,-0.7,-0.02,-0.33
video_699,0.22,-0.79,-0.37
video_700,0.14,-0.75,-0.28
video_701,-0.86,0.19,-0.21
video_702,-0.17,-0.6,-0.42
video_703,0.0,0.05,-0.01
video_704,-0.47,-0.3,-0.34
video_705,0.11,-0.62,-0.32
video_706,-0.02,-0.27,-0.24
video_707,0.23,-0.74,-0.17
video_708,-0.9,0.48,-0.12
video_709,0.21,-0.62,-0.33
video_710,-0.85,0.04,-0.19
video_711,0.27,-0.75,-0.38
video_712,-0.57,0.2,-0.27
video_713,0.13,-0.7,-0.29
video_714,-0.79,0.31,-0.25
video_715,-0.88,0.58,0.04
video_716,0.08,-0.61,-0.35
video_717,0.11,-0.17,-0.36
